FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.11184,11184,POINT (16.394480611481267 48.17846830236984),Vereinssport outdoor,"3., Faradaygasse 4",11063,Tennisanlage (15 Plätze),https://www.rs-academy.eu/about/,7,
SPORTSTAETTENOGD.11185,11185,POINT (16.40401684645451 48.1960883141324),Öffentlich outdoor,"3., Fiakerplatz, Bock-Park",100,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11186,11186,POINT (16.415589086659516 48.18963921704938),Öffentlich indoor,"3., Franzosengraben 2",10200,"Fitnesscenter (Badminton, Squash, Tennis, Fitness)",http://www.clubdanube.at/cd_index.php,2,
SPORTSTAETTENOGD.11187,11187,POINT (16.400155709546258 48.183169927649985),Vereinssport outdoor,"3., Grasbergergasse 18",23164,"Rasenplatz,<br />Kunstrasenplatz (Fußball),<br />Kunstrasenmehrzweckplatz",http://www.rsv-1901.at/start.php,7,
SPORTSTAETTENOGD.11188,11188,POINT (16.386377676717185 48.18605596666271),Öffentlich outdoor,"3., Arsenalstraße, Schweizergarten 1 hinter",4780,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11189,11189,POINT (16.401454489021962 48.197337610458796),Öffentlich outdoor,"3., Kardinal-Nagl-Platz, Kardinal-Nagl-Park 14 ggü",395,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11190,11190,POINT (16.39047577825796 48.20999895359936),Öffentlich outdoor,"3., Kolonitzplatz 2 ggü",120,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11191,11191,POINT (16.39859927183803 48.19131006305628),Öffentlich outdoor,"3., Landstraßer Hauptstraße, Waisenhauspark 148/8 ggü",310,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11192,11192,POINT (16.378145689882448 48.201594736880324),Öffentlich outdoor,"3., Lothringerstraße 22",9550,"Eissportanlage ,<br />Beachvolleyballanlage",http://www.wev.or.at/,3,
SPORTSTAETTENOGD.11193,11193,POINT (16.411173559210216 48.190907444279524),Öffentlich indoor,"3., Nottendorfer Gasse 22",1160,"Tennis- und Badmintonhalle (10 Plätze, 6 Courts), Fitness",http://www.tennispoint.at,2,
SPORTSTAETTENOGD.11194,11194,POINT (16.378948213424486 48.19247619715401),Vereinssport outdoor,"3., Prinz Eugenstraße 25",3750,Tennisanlage (5 Plätze),https://www.eversports.at/s/tennisclub-schwarzenberg,7,
